nivel_satisfacao,ultima_avaliacao,numero_projetos,media_horas_mensais,tempo_empresa,acidente_trabalho,saiu,promocao_ultimos_5anos,departamento,salario
0.81,0.7,4,249,5,0,0,0,vendas,baixo
0.92,0.58,3,165,6,1,0,1,tecnico,medio
0.9,0.66,5,188,7,0,0,0,vendas,baixo
0.26,0.56,6,244,3,0,1,0,tecnico,baixo
0.72,0.78,3,182,4,0,0,0,TI,baixo
0.82,0.5,4,290,4,0,0,0,suporte,medio
0.54,0.78,3,220,6,0,0,0,tecnico,alto
0.91,0.55,2,226,2,0,0,0,vendas,medio
0.86,0.53,4,247,3,1,0,0,vendas,baixo
0.71,0.59,4,173,2,0,0,0,vendas,medio
0.85,0.6,4,156,2,0,0,0,RH,baixo
0.3,0.68,5,123,4,0,1,0,vendas,medio
0.91,0.68,3,239,5,0,0,0,suporte,medio
0.69,0.57,4,181,3,0,0,0,tecnico,medio
0.68,0.77,3,155,4,0,0,0,vendas,baixo
0.62,0.67,5,166,4,0,0,0,TI,medio
0.68,0.8,6,186,3,1,0,0,tecnico,medio
0.17,0.67,7,238,4,0,1,0,tecnico,baixo
0.84,0.7,5,161,4,0,0,0,suporte,medio
0.82,0.57,2,230,4,0,0,0,suporte,alto
0.63,0.59,4,152,3,0,0,0,tecnico,medio
0.78,0.66,5,152,10,0,0,0,suporte,medio
0.93,0.58,3,228,6,0,0,0,TI,baixo
0.65,0.68,3,164,4,0,0,0,vendas,medio
0.89,0.65,4,183,3,1,0,0,suporte,medio
0.86,0.62,6,179,2,0,0,0,vendas,baixo
0.87,0.81,4,250,5,0,0,0,vendas,baixo
0.36,0.75,2,216,4,0,1,0,suporte,baixo
0.74,0.56,4,212,5,0,0,0,financeiro,baixo
0.83,0.79,3,228,5,0,0,0,financeiro,medio
0.54,0.63,4,257,5,0,0,0,vendas,baixo
0.77,0.67,5,188,2,0,0,0,tecnico,baixo
0.58,0.69,4,174,3,0,0,0,suporte,baixo
0.65,0.74,2,166,2,0,0,0,vendas,baixo
0.41,0.62,4,181,4,0,0,0,marketing,baixo
0.24,0.46,5,196,3,0,1,0,produto,baixo
0.25,0.72,4,208,4,0,1,0,financeiro,baixo
0.69,0.65,4,166,5,1,0,0,vendas,medio
0.42,0.59,7,227,3,0,1,0,vendas,baixo
0.32,0.62,2,235,4,0,1,0,RH,medio
0.74,0.74,2,192,2,0,0,0,TI,baixo
0.2,0.56,5,173,6,0,1,0,financeiro,baixo
0.71,0.7,5,132,3,0,0,0,vendas,baixo
0.15,0.74,3,220,3,0,1,0,suporte,baixo
0.27,0.76,5,261,3,0,1,0,suporte,baixo
0.57,0.62,3,165,7,0,0,0,vendas,baixo
0.81,0.76,4,182,3,1,0,0,suporte,baixo
0.78,0.59,3,272,4,0,0,0,TI,medio
0.64,0.72,4,150,2,0,0,0,vendas,baixo
0.3,0.63,5,254,3,0,1,0,vendas,medio
0.19,0.7,5,310,3,0,1,0,TI,medio
0.69,0.53,4,185,5,0,0,0,suporte,medio
0.63,0.66,3,179,2,1,0,0,RH,baixo
0.9,0.7,5,187,2,1,0,0,tecnico,medio
0.77,0.74,3,172,5,0,0,0,vendas,baixo
0.8,0.77,3,185,2,0,0,0,gerenciamento,baixo
0.74,0.69,5,226,8,0,0,0,administrativo,baixo
0.17,0.69,2,188,7,0,1,0,vendas,alto
0.8,0.68,7,176,5,0,0,0,marketing,baixo
0.79,0.59,5,214,4,0,0,0,vendas,medio
0.72,0.65,4,182,3,0,0,0,vendas,baixo
0.45,0.71,3,185,6,0,0,0,vendas,medio
0.15,0.78,7,235,3,0,1,0,vendas,medio
0.27,0.7,7,156,4,0,1,0,RH,alto
0.76,0.71,6,249,3,0,0,0,produto,medio
0.92,0.52,2,149,2,0,0,0,gerenciamento,medio
0.68,0.73,5,178,3,0,0,1,produto,alto
0.83,0.52,4,140,6,0,0,0,tecnico,baixo
0.64,0.66,3,224,3,0,0,0,produto,baixo
0.64,0.53,4,218,2,0,0,0,gerenciamento,medio
0.74,0.77,4,224,2,0,0,0,produto,baixo
0.67,0.45,3,192,6,0,0,0,marketing,medio
0.85,0.61,4,192,6,0,0,0,administrativo,baixo
0.34,0.77,7,227,4,0,1,0,vendas,medio
0.63,0.64,5,154,5,0,0,0,produto,baixo
0.7,0.54,5,106,4,0,0,0,RH,baixo
0.6,0.55,3,133,8,0,0,0,gerenciamento,baixo
0.23,0.81,7,278,4,0,1,0,vendas,medio
0.8,0.72,4,218,3,0,0,0,suporte,baixo
0.66,0.63,3,158,2,0,0,0,TI,medio
0.68,0.6,5,165,5,0,0,0,vendas,medio
0.86,0.51,3,187,8,0,0,0,suporte,medio
0.59,0.48,3,225,4,0,0,0,vendas,baixo
0.61,0.59,3,202,4,1,0,0,tecnico,baixo
0.55,0.59,3,213,6,0,0,0,tecnico,baixo
0.74,0.57,4,205,5,0,0,0,suporte,baixo
0.82,0.73,4,232,3,0,0,0,tecnico,medio
0.92,0.66,5,235,6,0,0,0,suporte,alto
0.3,0.71,2,310,7,0,1,0,tecnico,baixo
0.82,0.65,2,209,3,0,0,0,vendas,medio
0.78,0.49,3,236,3,0,0,0,vendas,alto
0.89,0.56,3,185,3,0,0,0,vendas,medio
0.86,0.6,4,172,4,0,0,0,suporte,medio
0.86,0.56,4,192,6,0,0,0,marketing,medio
0.65,0.65,4,200,4,1,0,0,vendas,baixo
0.88,0.68,4,198,4,0,0,0,vendas,medio
0.69,0.69,3,230,3,0,0,0,produto,alto
0.76,0.5,4,252,2,0,0,0,tecnico,medio
0.8,0.69,4,183,3,0,0,0,administrativo,baixo
0.76,0.65,3,243,4,0,0,0,produto,baixo
0.54,0.82,4,169,6,0,0,0,tecnico,baixo
0.34,0.51,3,233,5,0,1,0,tecnico,baixo
0.77,0.6,4,142,4,0,0,0,suporte,medio
0.62,0.55,7,242,6,0,0,0,vendas,medio
0.7,0.62,6,256,7,1,0,0,vendas,baixo
0.18,0.58,5,206,6,0,1,0,vendas,baixo
0.32,0.76,3,246,7,0,1,0,marketing,medio
0.8,0.62,4,205,4,0,0,0,suporte,baixo
0.86,0.68,6,221,4,0,0,0,vendas,baixo
0.14,0.57,6,227,5,1,1,0,TI,medio
0.93,0.68,3,238,4,0,0,0,tecnico,baixo
0.9,0.66,3,166,7,1,0,0,suporte,baixo
0.71,0.69,3,237,7,0,0,0,vendas,baixo
0.86,0.66,3,202,4,1,0,0,suporte,medio
0.26,0.62,4,231,4,0,1,0,gerenciamento,medio
0.31,0.68,6,252,4,0,1,0,vendas,baixo
0.82,0.56,5,257,4,0,0,0,tecnico,baixo
0.62,0.79,2,211,4,1,0,0,vendas,medio
0.66,0.73,3,208,8,0,0,0,vendas,medio
0.84,0.71,2,201,4,1,0,0,tecnico,medio
0.42,0.66,5,300,5,0,1,0,RH,medio
0.1,0.53,4,233,5,0,1,0,administrativo,medio
0.23,0.55,6,263,3,0,1,0,vendas,medio
0.85,0.6,4,206,3,0,0,0,suporte,medio
0.84,0.68,3,203,3,1,0,0,TI,medio
0.54,0.64,4,173,4,0,0,0,suporte,medio
0.13,0.48,2,251,3,0,1,0,tecnico,baixo
0.49,0.52,3,182,2,1,0,0,vendas,medio
0.61,0.61,3,183,2,0,0,0,suporte,medio
0.89,0.63,3,144,4,0,0,0,tecnico,medio
0.58,0.54,3,210,3,0,0,0,marketing,baixo
0.81,0.6,4,209,4,1,0,0,marketing,medio
0.76,0.73,3,141,6,0,0,1,vendas,medio
0.47,0.67,5,203,6,0,0,0,vendas,baixo
0.84,0.55,5,203,3,1,0,0,administrativo,medio
0.8,0.6,5,227,4,0,0,0,suporte,medio
0.86,0.7,4,180,4,0,0,0,RH,baixo
0.91,0.73,4,162,2,1,0,0,vendas,baixo
0.6,0.73,3,191,8,0,0,0,suporte,medio
0.87,0.56,2,198,7,0,0,0,suporte,medio
0.79,0.67,5,278,2,0,0,0,financeiro,baixo
0.84,0.6,3,214,3,1,0,0,vendas,baixo
0.09,0.53,7,307,5,1,1,0,vendas,baixo
0.87,0.76,4,153,4,1,0,0,tecnico,baixo
0.73,0.49,3,131,2,0,0,0,financeiro,baixo
0.48,0.75,5,205,6,0,0,0,administrativo,medio
0.64,0.62,3,213,5,0,0,0,gerenciamento,medio
0.81,0.66,3,231,4,0,0,0,gerenciamento,medio
0.82,0.57,4,154,2,0,0,0,vendas,baixo
0.1,0.76,5,275,2,0,1,0,vendas,baixo
0.75,0.71,5,202,2,1,0,0,vendas,baixo
0.23,0.78,6,257,3,0,1,0,tecnico,medio
0.76,0.5,4,157,3,0,0,0,RH,medio
0.23,0.62,4,178,4,0,1,0,financeiro,medio
0.86,0.62,3,164,6,0,0,0,vendas,baixo
0.64,0.63,3,183,8,0,0,0,TI,medio
0.6,0.61,5,195,7,0,0,0,administrativo,medio
0.81,0.54,3,181,4,0,0,0,suporte,medio
0.74,0.56,3,176,5,0,0,0,vendas,medio
0.55,0.61,3,183,4,0,0,0,tecnico,medio
0.8,0.77,3,239,2,0,0,0,tecnico,baixo
0.73,0.73,5,185,6,1,0,0,suporte,medio
0.74,0.65,3,218,5,0,0,0,tecnico,baixo
0.18,0.67,3,267,4,0,1,0,vendas,baixo
0.34,0.43,5,219,4,0,1,0,gerenciamento,baixo
0.53,0.71,4,201,5,0,1,0,suporte,alto
0.82,0.54,5,222,2,0,0,0,suporte,baixo
0.76,0.77,3,182,2,0,0,1,gerenciamento,medio
0.22,0.87,3,278,4,0,1,0,vendas,alto
0.75,0.56,4,176,2,1,0,0,vendas,alto
0.15,0.61,2,194,5,0,1,0,RH,medio
0.15,0.59,7,226,4,0,1,0,vendas,medio
0.39,0.64,3,288,5,0,1,0,marketing,baixo
0.91,0.72,3,265,5,0,0,0,vendas,baixo
0.71,0.66,3,141,5,0,0,0,vendas,medio
0.26,0.43,6,218,4,0,1,0,suporte,baixo
0.67,0.68,6,259,8,0,0,0,vendas,baixo
0.85,0.79,3,188,3,1,0,0,marketing,medio
0.77,0.59,4,240,3,0,0,0,TI,medio
0.38,0.63,2,298,3,0,1,0,administrativo,medio
0.82,0.6,5,187,7,0,0,0,marketing,medio
0.86,0.78,6,210,7,1,0,0,vendas,medio
0.69,0.62,4,267,3,0,0,0,marketing,baixo
0.63,0.75,2,220,4,0,0,0,TI,baixo
0.14,0.62,6,277,5,0,1,0,TI,alto
0.8,0.78,5,247,5,0,0,0,RH,baixo
0.55,0.45,4,241,2,0,0,0,suporte,baixo
0.09,0.67,3,258,5,0,1,0,suporte,medio
0.64,0.56,4,216,4,0,0,0,TI,baixo
0.56,0.63,4,167,6,0,0,0,tecnico,baixo
0.76,0.77,4,147,4,0,0,0,vendas,baixo
0.83,0.53,3,216,2,0,0,1,TI,baixo
0.62,0.66,3,215,4,1,0,0,vendas,baixo
0.1,0.56,4,250,5,0,1,0,vendas,medio
0.36,0.6,2,289,3,1,1,0,vendas,medio
0.21,0.65,4,258,3,0,1,0,TI,baixo
0.27,0.77,4,271,4,0,1,0,tecnico,baixo
0.81,0.61,6,204,5,1,0,0,marketing,baixo
0.71,0.7,4,166,5,0,0,0,tecnico,medio
0.21,0.65,5,310,6,0,1,0,suporte,baixo
0.85,0.55,4,175,2,0,0,0,tecnico,alto
0.72,0.72,3,208,2,0,0,0,TI,baixo
0.13,0.71,4,199,5,0,1,0,tecnico,medio
0.24,0.88,7,299,3,0,1,0,gerenciamento,baixo
0.89,0.53,3,225,4,0,0,0,administrativo,baixo
0.82,0.63,3,182,2,1,0,0,RH,baixo
0.74,0.74,3,163,6,0,0,0,administrativo,medio
0.67,0.57,3,166,2,0,0,0,tecnico,baixo
0.79,0.6,5,144,5,0,0,0,suporte,baixo
0.92,0.7,4,167,4,1,0,0,produto,medio
0.81,0.59,4,227,4,0,0,0,produto,baixo
0.85,0.77,5,189,5,0,0,0,financeiro,baixo
0.73,0.68,3,246,4,0,0,0,produto,medio
0.91,0.7,4,174,3,0,0,0,gerenciamento,medio
0.76,0.64,4,225,5,0,0,0,tecnico,medio
0.28,0.62,6,239,4,0,1,0,RH,baixo
0.64,0.55,3,178,3,0,0,0,produto,baixo
0.79,0.65,4,251,2,0,0,0,produto,baixo
0.68,0.66,3,225,5,0,0,0,tecnico,medio
0.33,0.69,4,218,3,0,1,0,marketing,medio
0.89,0.61,5,185,6,0,0,0,financeiro,alto
0.85,0.7,4,134,6,0,0,0,vendas,baixo
0.79,0.7,3,139,3,0,0,0,TI,medio
0.65,0.6,5,235,2,0,0,0,tecnico,baixo
0.65,0.63,5,200,3,0,0,0,gerenciamento,baixo
0.64,0.64,3,168,3,0,0,0,suporte,medio
0.8,0.72,4,196,4,0,0,0,vendas,baixo
0.74,0.77,4,187,4,0,0,0,tecnico,baixo
0.28,0.73,5,249,3,0,1,0,TI,baixo
0.77,0.61,3,195,7,0,0,0,vendas,medio
0.65,0.76,4,184,6,0,0,0,suporte,baixo
0.46,0.72,5,215,3,0,1,0,administrativo,baixo
0.94,0.63,3,250,3,0,0,0,RH,alto
0.79,0.64,5,237,5,0,0,0,vendas,baixo
0.8,0.83,6,216,2,0,0,0,gerenciamento,baixo
0.63,0.75,5,219,8,0,0,0,produto,medio
0.24,0.86,3,192,7,0,1,0,vendas,medio
0.11,0.67,5,253,3,0,1,0,vendas,baixo
0.84,0.6,5,229,5,0,0,0,vendas,medio
0.85,0.61,3,196,4,1,0,0,RH,baixo
0.71,0.75,3,161,3,0,0,0,vendas,medio
0.8,0.79,3,198,5,0,0,0,vendas,baixo
0.88,0.61,4,153,5,0,0,0,marketing,baixo
0.86,0.54,6,230,6,0,0,0,suporte,baixo
0.52,0.52,3,155,3,0,0,0,marketing,alto
0.67,0.78,3,243,5,0,0,0,produto,medio
0.89,0.7,3,218,5,0,0,0,vendas,alto
0.2,0.59,5,278,6,0,1,0,financeiro,medio
0.8,0.5,4,214,5,0,0,0,vendas,baixo
0.58,0.58,4,158,7,0,0,0,suporte,baixo
0.78,0.47,4,196,3,0,0,0,TI,medio
0.78,0.6,4,230,3,0,0,0,vendas,medio
0.88,0.73,4,260,4,0,0,0,gerenciamento,alto
0.72,0.61,5,162,3,1,0,0,suporte,baixo
0.63,0.6,4,166,2,0,0,0,vendas,baixo
0.78,0.63,3,245,4,0,0,0,administrativo,baixo
0.92,0.74,4,160,5,0,0,0,suporte,baixo
0.69,0.85,3,151,5,0,0,0,produto,baixo
0.85,0.58,4,195,4,0,0,0,suporte,baixo
0.12,0.84,4,261,6,0,1,0,RH,medio
0.69,0.55,4,150,2,0,0,0,vendas,baixo
0.61,0.71,3,208,6,1,0,0,vendas,baixo
0.66,0.68,3,181,2,0,0,0,suporte,medio
0.66,0.62,3,223,4,0,0,0,vendas,baixo
0.76,0.74,4,175,2,0,0,0,produto,medio
0.83,0.68,2,227,2,0,0,0,tecnico,baixo
0.76,0.72,3,219,3,0,0,0,vendas,medio
0.91,0.46,4,204,4,0,0,0,vendas,medio
0.66,0.57,3,176,5,0,0,0,produto,alto
0.66,0.78,5,187,6,0,0,0,RH,medio
0.87,0.53,3,230,5,0,0,0,tecnico,baixo
0.69,0.61,5,165,4,0,0,1,suporte,baixo
0.79,0.67,2,172,2,0,0,0,vendas,medio
0.85,0.58,4,153,4,0,0,0,TI,medio
0.16,0.69,7,252,5,0,1,0,vendas,medio
0.72,0.57,3,143,8,0,0,0,suporte,baixo
0.72,0.73,3,197,2,0,0,0,TI,medio
0.83,0.76,3,230,2,0,0,0,administrativo,medio
0.88,0.64,3,195,5,0,0,0,tecnico,medio
0.7,0.62,3,189,3,0,0,0,marketing,baixo
0.75,0.76,2,217,2,0,0,0,suporte,alto
0.14,0.76,3,235,4,0,1,0,administrativo,baixo
0.72,0.57,5,218,10,0,0,0,tecnico,baixo
0.74,0.67,4,178,5,0,0,0,tecnico,medio
0.81,0.73,5,196,7,0,0,0,financeiro,baixo
0.74,0.65,5,187,5,0,0,0,vendas,medio
0.85,0.47,5,220,6,0,0,0,vendas,baixo
0.11,0.51,5,271,4,0,1,0,vendas,baixo
0.58,0.64,7,223,5,0,0,0,RH,baixo
0.24,0.67,6,238,5,0,1,0,vendas,baixo
0.24,0.89,4,273,5,0,1,0,financeiro,baixo
0.84,0.71,4,197,2,1,0,0,tecnico,baixo
0.76,0.53,6,189,4,0,0,0,vendas,medio
0.71,0.71,2,193,2,0,0,0,tecnico,medio
0.71,0.67,3,184,4,0,0,0,vendas,medio
0.85,0.73,6,178,2,0,0,0,TI,medio
0.77,0.59,3,173,6,0,0,0,TI,baixo
0.78,0.58,4,165,4,0,0,0,suporte,medio
0.85,0.56,3,208,3,0,0,0,vendas,medio
0.2,0.76,2,246,3,0,1,0,TI,baixo
0.81,0.47,4,174,2,0,0,0,RH,medio
0.21,0.68,4,192,4,0,1,0,produto,baixo
0.63,0.56,5,197,2,1,0,0,RH,medio
0.67,0.48,3,209,7,0,0,0,vendas,baixo
0.65,0.52,2,167,4,0,0,0,financeiro,baixo
0.84,0.73,3,225,2,0,0,0,tecnico,baixo
0.41,0.76,5,243,5,0,1,0,vendas,baixo
0.59,0.72,4,235,8,0,0,0,RH,medio
0.24,0.71,2,264,3,0,1,0,administrativo,alto
0.87,0.85,6,202,2,0,0,0,TI,baixo
0.87,0.73,4,189,6,0,0,0,vendas,baixo
0.76,0.5,3,203,8,0,0,0,vendas,baixo
0.28,0.63,3,276,5,0,1,0,suporte,medio
0.22,0.52,6,289,3,0,1,0,financeiro,baixo
0.67,0.62,4,195,4,0,0,0,vendas,alto
0.77,0.55,3,210,7,0,0,0,RH,medio
0.44,0.85,3,249,3,0,1,0,tecnico,medio
0.73,0.7,4,197,4,0,0,0,RH,medio
0.17,0.68,2,299,4,0,1,0,administrativo,medio
0.1,0.61,2,219,3,0,1,0,tecnico,medio
0.75,0.51,3,167,2,0,0,0,tecnico,medio
0.56,0.75,4,224,3,0,0,0,marketing,medio
0.47,0.63,2,186,6,0,0,0,suporte,medio
0.87,0.61,3,206,5,1,0,0,TI,medio
0.12,0.84,3,222,5,0,1,0,TI,alto
0.79,0.65,4,193,6,0,0,0,vendas,alto
0.2,0.73,4,195,6,1,1,0,RH,medio
0.74,0.55,3,177,2,0,0,0,vendas,baixo
0.3,0.6,3,218,4,0,1,0,administrativo,baixo
0.87,0.73,6,192,7,0,0,0,vendas,medio
0.88,0.6,5,167,3,0,0,0,produto,baixo
0.27,0.68,6,268,4,0,1,0,tecnico,baixo
0.9,0.79,4,172,3,0,0,0,tecnico,baixo
0.62,0.78,7,187,3,0,0,0,tecnico,medio
0.1,0.72,4,281,8,0,1,0,produto,medio
0.24,0.7,2,239,4,0,1,0,suporte,baixo
0.84,0.64,7,192,3,1,0,0,financeiro,baixo
0.86,0.57,6,218,7,1,0,0,tecnico,medio
0.76,0.68,3,186,6,0,0,0,produto,alto
0.77,0.54,4,184,8,0,0,0,marketing,baixo
0.61,0.68,6,145,3,0,0,0,vendas,baixo
0.83,0.59,5,147,5,0,0,0,tecnico,medio
0.67,0.6,3,184,8,0,0,0,suporte,medio
0.1,0.68,3,187,7,0,1,0,tecnico,medio
0.26,0.62,2,279,5,0,1,0,tecnico,medio
0.8,0.6,4,212,5,0,0,0,TI,medio
0.74,0.67,3,171,5,0,0,0,vendas,baixo
0.7,0.61,4,225,7,0,0,0,produto,baixo
0.83,0.65,4,195,4,0,0,0,administrativo,medio
0.85,0.62,4,190,3,0,0,0,suporte,medio
0.27,0.4,3,250,6,0,1,0,TI,medio
0.63,0.64,3,178,7,0,0,0,vendas,alto
0.94,0.52,3,218,5,0,0,0,financeiro,medio
0.88,0.66,4,195,6,1,0,0,tecnico,medio
0.71,0.68,3,168,7,0,0,0,TI,baixo
0.63,0.74,6,178,6,0,0,0,gerenciamento,baixo
0.52,0.74,3,201,3,0,0,0,suporte,medio
0.78,0.53,4,152,4,0,0,1,produto,baixo
0.86,0.65,6,183,5,0,0,0,tecnico,baixo
0.85,0.55,5,131,3,0,0,0,vendas,medio
0.17,0.76,5,194,3,0,1,0,marketing,medio
0.64,0.72,3,176,6,0,0,0,vendas,baixo
0.88,0.55,4,186,4,0,0,0,produto,medio
0.91,0.48,6,205,6,0,0,0,vendas,baixo
0.09,0.62,4,294,3,0,1,0,financeiro,baixo
0.87,0.62,5,256,3,1,0,0,vendas,medio
0.87,0.63,4,243,6,0,0,0,suporte,medio
0.26,0.63,5,306,4,0,1,0,suporte,baixo
0.22,0.69,6,310,2,0,1,0,tecnico,baixo
0.09,0.68,7,296,5,0,1,0,tecnico,baixo
0.66,0.71,3,197,3,0,0,0,suporte,alto
0.73,0.68,3,154,3,0,0,0,tecnico,medio
0.9,0.61,3,208,5,1,0,0,tecnico,baixo
0.33,0.57,4,270,7,0,1,0,tecnico,baixo
0.73,0.54,2,236,8,1,0,0,suporte,medio
0.74,0.77,4,164,5,0,0,0,vendas,medio
0.11,0.63,3,214,4,0,1,0,gerenciamento,medio
0.8,0.65,4,239,2,0,0,0,suporte,baixo
0.7,0.73,5,196,5,0,0,0,vendas,alto
0.88,0.58,5,232,3,0,0,0,suporte,baixo
0.68,0.62,3,252,6,0,0,0,financeiro,baixo
0.66,0.71,5,148,3,0,0,0,vendas,baixo
0.8,0.5,3,197,3,0,0,0,TI,medio
0.92,0.52,3,233,2,0,0,0,suporte,alto
0.67,0.73,2,155,2,0,0,0,vendas,medio
0.78,0.71,6,174,4,0,0,0,RH,medio
0.93,0.74,4,154,3,1,0,0,tecnico,baixo
0.17,0.78,5,219,3,0,1,0,tecnico,baixo
0.65,0.72,3,159,7,0,0,0,RH,medio
0.83,0.51,4,216,4,0,0,0,TI,medio
0.5,0.7,3,180,5,0,1,0,financeiro,medio
0.72,0.82,3,214,6,1,0,0,TI,baixo
0.18,0.76,6,298,4,0,1,0,produto,baixo
0.78,0.57,4,190,2,0,0,0,RH,baixo
0.24,0.64,6,224,4,1,1,0,vendas,medio
0.63,0.59,4,118,3,0,0,0,marketing,medio
0.24,0.61,4,310,5,0,1,0,TI,baixo
0.79,0.68,7,194,3,0,0,0,vendas,baixo
0.26,0.58,4,304,3,0,1,0,suporte,baixo
0.91,0.53,7,229,3,0,0,0,vendas,baixo
0.69,0.52,3,159,4,1,0,0,produto,medio
0.22,0.6,4,261,2,0,1,0,suporte,alto
0.86,0.79,3,226,6,1,0,0,administrativo,medio
0.89,0.6,4,175,3,1,0,0,vendas,baixo
0.93,0.49,3,127,4,0,0,0,suporte,medio
0.79,0.75,4,185,6,0,0,0,vendas,medio
0.77,0.76,3,140,6,0,0,0,TI,baixo
0.59,0.73,5,203,4,1,0,0,produto,medio
0.23,0.61,5,177,4,0,1,0,produto,medio
0.68,0.54,5,234,5,1,0,0,RH,baixo
0.54,0.54,7,195,2,1,0,0,RH,medio
0.26,0.74,7,267,6,0,1,0,vendas,medio
0.12,0.52,2,299,3,0,1,0,tecnico,medio
0.8,0.66,2,241,3,0,0,0,TI,baixo
0.6,0.55,4,205,2,0,0,0,suporte,baixo
0.72,0.61,4,197,2,0,0,1,vendas,baixo
0.83,0.53,3,173,3,0,0,0,suporte,medio
0.64,0.59,5,224,3,0,0,0,tecnico,baixo
0.91,0.66,6,205,3,0,0,0,tecnico,medio
0.85,0.61,3,261,6,1,0,0,RH,medio
0.6,0.63,3,208,3,0,0,0,tecnico,baixo
0.19,0.6,4,227,5,0,1,0,vendas,medio
0.2,0.59,3,217,3,0,1,0,vendas,baixo
0.9,0.56,3,186,4,0,0,0,RH,baixo
